file_count,filename,key,url
138,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.OxygenSaturationSettings.plist,searchURL,bridge:root=com.apple.OxygenSaturationSettings
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings#ALLOW_NOTIFICATIONS_ID
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings#SEND_TO_NOTIFICATION_CENTER_ID
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings#NOTIFICATIONS_OFF_ID
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings&path=NOTIFICATION_COALESCING_ID
139,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.BrookBridgeSettings.plist,searchURL,bridge:root=com.apple.BrookBridgeSettings#HANDWASHING_TIMER_ID
140,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.internal.CompanionWakeSettings.plist,searchURL,bridge:root=DISPLAY_AND_BRIGHTNESS&path=Wake%20Duration
140,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.internal.CompanionWakeSettings.plist,searchURL,bridge:root=DISPLAY_AND_BRIGHTNESS&path=Wake%20Duration#ON_TAP_GROUP_ID
140,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.internal.CompanionWakeSettings.plist,searchURL,bridge:root=DISPLAY_AND_BRIGHTNESS&path=Wake%20Duration#SHORT_WAKE_ID
140,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.internal.CompanionWakeSettings.plist,searchURL,bridge:root=DISPLAY_AND_BRIGHTNESS&path=Wake%20Duration#LONG_WAKE_ID
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Photo%20Syncing
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Memories
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Sync%20Memories
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Featured%20Photos
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Sync%20Featured%20Photos
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#Album
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings&path=Sync%20Album
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings&path=Photos%20Limit
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#MIRROR_RADIO_GROUP_ID
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#MIRROR_MY_COMPANION_ID
141,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.NanoPhotosBridgeSettings.plist,searchURL,bridge:root=com.apple.NanoPhotosBridgeSettings#CUSTOM_ID
142,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.CompanionComplicationSettings.plist,searchURL,bridge:root=COMPLICATIONS
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=APP_VIEW_ID
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/NAME_CELL_ID
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/WARRANTY_DESCRIPTION
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/WARRANTY_DESCRIPTION#Limited%20Warranty
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/WARRANTY_DESCRIPTION#COVERAGE%20DETAILS
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/WARRANTY_DESCRIPTION#Hardware%20Coverage
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT/WARRANTY_DESCRIPTION#Chat%20&%20Phone%20Support
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT#SONGS_CELL_ID
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT#PHOTOS_CELL_ID
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT#APPLICATIONS_CELL_ID
143,./System/Library/BridgeManifests/BridgeManifests.bundle/SettingsSearchManifest-com.apple.Bridge.plist,searchURL,bridge:root=GENERAL_LINK&path=ABOUT#STORAGE_CAPACITY_CELL_ID
